text,cleaned1,sentiment,emotion
"Hukum di indonesia benar-benar gelap...💔😭
Semoga pa Tom selalu sabar dan tawakal...rezim sebelumnya benar² dholim...🥹🥹",hukum di indonesia benarbenar gelap semoga pak tom selalu sabar dan tawakalrezim sebelumnya benar zalim,negative,fear
"4,5 tahun, cukup 1 periode. Selama itu Pak Tom dan Abah tidak bisa membahas politik bersama, tidak bisa kolaborasi, tidak bisa ngopi bareng sampai pemilihan periode kedua 😁
Semoga Pak Tom Allah beri kesabaran yg tiada batas.",tahun cukup periode selama itu pak tom dan ayah tidak bisa membahas politik bersama tidak bisa kolaborasi tidak bisa minum kopi bareng sampai pemilihan periode kedua semoga pak tom allah beri kesabaran yang tiada batas,negative,sadness
Innalilahiwainailaihirojiun. Hukum di Indonesia sudah rusak. Yg benar di penjara yg salah malah tertawa bebas.  Sungguh sangat melukai nurani putusan ini.,innalilahiwainailaihirojiun hukum di indonesia sudah rusak yang benar di penjara yang salah bahkan tertawa bebas sungguh sangat melukai nurani putusan ini,negative,anger
"Yg memerintahkan atasannya tp knp atasannya tidak di panggil di pengadilan, ngeri dan menyedihkan penegakan hukum di negeri ini",yang memerintahkan atasannya tapi kenapa atasannya tidak di panggil di pengadilan ngeri dan menyedihkan penegakan hukum di negeri ini,negative,fear
"IN SYAH ALLAH, PAK TOM KEBENARAN AKAN TERUS TERUNGKAP LEWAT CARA ALLAH SWT.
YANG NANTINYA BERPROSES TANPA KITA DUGA.
Aamiin ya rabbal Aamiin",masuk syah allah pak tom kebenaran akan terus terungkap lewat cara allah subhanahu wa taala yang nantinya berproses tanpa kita duga amin iya rabi amin,positive,happy
Sejarah akan mencatat orang yang bersih di penjara sementara yang jelas korupsi di beri jabatan dan gemilang harta rezim Jokowi prabowo,sejarah akan mencatat orang yang bersih di penjara sementara yang jelas korupsi di beri jabatan dan gemilang harta rezim jokowi prabowo,negative,sadness
"Kedzaliman akan mendapatkan balasan yg setimpal, waktu yang akan menjawab nya, Inshaa Allaah",kedzaliman akan mendapatkan balasan yang setimpal waktu yang akan menjawab nya insya allah,positive,sadness
"Untuk para pejabat tinggi,, yg menutup mata, menutup telinga dan yg menutup hatinya, tidaklah kalian takut dengan ancaman Allah... Ingat setelah kehidupan di bumi akan ada kehidupan di akhirat yg kekal, dan balasan dari ketidak pedulian kalian tentang kebenaran maka akan Allah akan balas kelak di akhirat dengan siksa yg sangat pedih... Naudzubillah...",untuk para pejabat tinggi yang menutup mata menutup telinga dan yang menutup hatinya tidaklah kalian takut dengan ancaman allah ingat setelah kehidupan di bumi akan ada kehidupan di akhirat yang kekal dan balasan dari ketidak pedulian kalian tentang kebenaran maka akan allah akan balas kelak di akhirat dengan siksa yang sangat pedih naudzubillah,negative,fear
Semoga Allah subhana wataalaa...menunjukan dan menampakan KEADILAN NYA.,semoga allah subhana wataalaamenunjukan dan menampakkan keadilan nya,positive,happy
Negara hukum buat yg bnyak duit pengaruh kuasa Jokowi dan geng solo sangat kuat . bekingan preman .. cuma tinggal tunggu Tuhan menentukan jalan Nya..miris negara ini akan kena murka klo begini terus,negara hukum buat yang banyak uang pengaruh kuasa jokowi dan geng solo sangat kuat bekingan preman cuma tinggal tunggu tuhan menentukan jalan nyamiris negara ini akan kena murka kalau begini terus,negative,anger
"Lailahaillah Allahuakbar 😭😭😭😭😭 Allah Maha Tahu segala- galanya Semoga yg mensolimi baik yg memerintahkan, memutuskan segera dilaknat oleh Allah SWT hingga 7 turunan.",lailahaillah allahu akbar allah maha tahu segala galanya semoga yang mensolimi baik yang memerintahkan memutuskan segera dilaknat oleh allah subhanahu wa taala hingga turunan,negative,fear
Sebegitu rusak nya sudah hukum di negeri kita tercinta ini semoga selalu sehat pak tom,sebegitu rusak nya sudah hukum di negeri kita tercinta ini semoga selalu sehat pak tom,negative,happy
Memang sudah mati keadilan di negeri ini,memang sudah mati keadilan di negeri ini,negative,sadness
"Doa tarbaik kami untuk pak tom, dan siapapun itu yang menzalimi pak tom, karma itu ada tuhan tidak tidur",doa tarbaik kami untuk pak tom dan siapapun itu yang menzalimi pak tom karma itu ada tuhan tidak tidur,negative,anger
"JAKSA HAKIM 

SEMOGA DAPAT BALASAN YANG SETIMPAL DI DUNIA DAN AKHIRAT",jaksa hakim semoga dapat balasan yang setimpal di dunia dan akhirat,positive,sadness
"ALLOH TA'ALA akan memperlihatkan bahwa KEBENARAN itu hanya 1 milik ALLOH TA'ALA tidak 2 dan 3.

Doa Kami untuk Anak Bangsa Indonesia yang masih mempunyai RASA BERTUHAN dan KEMANUSIAAN ....

Tetap semangat dan terus berjuang untuk mendapatkan KEADILAN HAQIQI ....

Bissiril Fatihah .....

Aamiin ALLAHUMMA Aamiin Yaa Mujiibbassa'iliin .... 🤲🙏🤲",allah taala akan memperlihatkan bahwa kebenaran itu hanya milik allah taala tidak dan doa kami untuk anak bangsa indonesia yang masih mempunyai rasa bertuhan dan kemanusiaan tetap semangat dan terus berjuang untuk mendapatkan keadilan hakiki bissiril fatihah amin allahumma amin ya mujiibbassailiin,positive,happy
"Allah TDK pernah tidur...
In sya Allah akan ada balasan bagi org yg menyalah gunakan kekuasaannya",allah tidak pernah tidur masuk saya allah akan ada balasan bagi orang yang menyalah gunakan kekuasaannya,negative,happy
"Jangan sedih pak, mungkin Tuhan punya maksud lain. Selalu ada hikmah dibalik setiap cerita kehidupan. Mungkin sekarang kita tak melihatnya, tapi nanti kita sadar, oh, ternyata ini maksud Tuhan. 

Sejarah sudah membuktikan, banyak orang2 hebat dijerumuskan dalam penjara, tapi kehebatan mereka nakin bersinar. Tetap semangat buat Pak Tom. Semoga panjang umur untuk melihat akhir cerita orang2 yang zolim padamu.",jangan sedih pak mungkin tuhan punya maksud lah selalu ada hikmah dibalik setiap cerita kehidupan mungkin sekarang kita tidak melihatnya tapi nanti kita sadar oh ternyata ini maksud tuhan sejarah sudah membuktikan banyak orang hebat dijerumuskan dalam penjara tapi kehebatan mereka nakin bersinar tetap semangat buat pak tom semoga panjang umur untuk melihat akhir cerita orang yang zolim padamu,positive,happy
"Hukum di Negara Republik Indonesia sudah MATI. Hati nurani udah busuk. Intinya Pak Tom Lembong harus dipenjara sesuai pesanan. Titik.

Astaghfirullah.. 
Semoga Allah membalas orang2 yg berbuat dzolim kpd Pak Tom Lembong. Aamiin

Jd",hukum di negara republik indonesia sudah mati hati nurani sudah busuk intinya pak tom lembong harus di penjara sesuai pesanan titik astagfirullah semoga allah membalas orang yang berbuat zalim kepada pak tom lembong amin jadi,negative,anger
"Semoga yg menyetel kbohongan/kesalahahan menjadi kejujuran/kebenaran segera mendapat balasan yg setimpal dan sungguh Allah lah se baik"" hakim",semoga yang menyetel kbohongankesalahahan menjadi kejujurankebenaran segera mendapat balasan yang setimpal dan sungguh allah lah se baik hakim,positive,happy
Saya bersama Tom Lembong.,saya bersama tom lembong,neutral,happy
"Allah tidak akan tinggal diam kita tunggu Allah bertindak,, amin ya Allah.",allah tidak akan tinggal diam kita tunggu allah bertindak amin iya allah,negative,happy
"Memang hancur lebur hukum di NKRI, hidup paling lama 80 th...hisab di akherat 50.000 th....semoga para penegak hukum paham itu",memang hancur lebur hukum di negara kesatuan republik indonesia hidup paling lama thhisab di akhirat thsemoga para penegak hukum paham itu,negative,sadness
"Ketika pengadilan didunia sdh semena2 ,Kita akan sama2 saksikan di pengadilan akhirat nnti,Allah seadil2 nya pemberi balasan 🥹",ketika pengadilan di dunia sudah semena kita akan sama saksikan di pengadilan akhirat nanti allah seadil nya pemberi balasan,negative,happy
peradilan sesat. putusan ini menunjukan bahwa hukum masih dikendalikan oleh penguasa. ini kasus pesanan rejim terdahulu untuk membungkam lawan politik dalam pilpres. satu bukti rejim yang skrg bagian dari rejim jokowi,peradilan sesat putusan ini menunjukkan bahwa hukum masih dikendalikan oleh penguasa ini kasus pesanan rezim terdahulu untuk membungkam lawan politik dalam pemilihan presiden satu bukti rezim yang sekarang bagian dari rezim jokowi,negative,anger
Hukum dagelan di Indonesia,hukum dagelan di indonesia,negative,anger
"Sakit rasanya dan greget melihat kondisi indo saat ini
 Sdh byk yg terdzolimi. Meski ntinya pasti dpt balasan di dunia sblm diakherat. Tp saat ini rasanya perih, sedih kecewa. Yg terdzolimi byk mengangkat tangan , berdoa insha Allah makbul. agar segera terbalaskan akibat smuanya😪😪😭",sakit rasanya dan greget melihat kondisi indonesia saat ini sudah bak yang terzalimi meski ntinya pasti dapat balasan di dunia sebelum diakherat tapi saat ini rasanya perih sedih kecewa yang terzalimi bak mengangkat tangan berdoa insya allah makbul agar segera terbalaskan akibat semuanya,negative,sadness
"Indonesia gelap
RIP justice 
 😭",indonesia gelap rip justice,negative,anger
Masih adakah hukum di negeri ini yang berpihak dengan orang-orang yang jalan nya lurus? 🥺,masih adakah hukum di negeri ini yang berpihak dengan orangorang yang jalan nya lurus,negative,sadness
"Pak Tom tidak sendiri. Saya memilih berdiri bersama orang yg cerdas, berakal sehat dan berintegritas. Bila di akhirat kelak ditanya, saya bisa bilang, saya memilih kebenaran, bukan kebohongan dan kepalsuan yg dibenar2kan",pak tom tidak sendiri saya memilih berdiri bersama orang yang cerdas berakal sehat dan berintegritas bila di akhirat kelak ditanya saya bisa bilang saya memilih kebenaran bukan kebohongan dan kepalsuan yang dibenarkan,positive,happy
Negeri dagelan,negeri dagelan,negative,anger
Sabar dan Tawakal Ya Pak Tom 😢Semoga Allah SWT memberikan yg Terbaik Atas Kejujuran Pak Tom 🤲Kami Bangsa Indonesia paham dan empati dengan perjuangan juga  kondisi Bapak saat ini😭,sabar dan tawakal iya pak tom semoga allah subhanahu wa taala memberikan yang terbaik atas kejujuran pak tom kami bangsa indonesia paham dan empati dengan perjuangan juga kondisi bapak saat ini,positive,happy
"Klo Pak Tom Lembong di hukum 4,5 tahun penjara jokowi sebagai atasan dan yang memerintahkan / menyetujui seharusnya paling tidak 10 tahun penjara hukuman untuk nya, pengadilan Allah yang se adil adilnya, salam waras untuk penegak hukum",kalau pak tom lembong di hukum tahun penjara jokowi sebagai atasan dan yang memerintahkan menyetujui seharusnya paling tidak tahun penjara hukuman untuk nya pengadilan allah yang se adil adilnya salam waras untuk penegak hukum,negative,anger
"Mencari keadilan di negeri ini pada saat ini seperti mencari jarum dlm tumpukan jerami. Seperti menegakkan benang basah, seperti pungguk merindukan bulan, seperti jauh panggang dari api. Sangat sulit dan terasa impossible. Ya sudah pasrah saja sm Allah SWT Tuhan Yang Maha Adil.",mencari keadilan di negeri ini pada saat ini seperti mencari jarum dalam tumpukan jerami seperti menegakkan benang basah seperti pungguk merindukan bulan seperti jauh panggang dari api sangat sulit dan terasa impossible iya sudah pasrah saja sama allah subhanahu wa taala tuhan yang maha adil,negative,sadness
Semoga balasan kesengsaraan disegerakan buat pra jaksa dan para hakim zalim tsb.,semoga balasan kesengsaraan disegerakan buat pra jaksa dan para hakim zalim tersebut,negative,sadness
Turut berduka cita atas hilangnya keadilan di negeri ini.,turut berduka cita atas hilangnya keadilan di negeri ini,neutral,sadness
"Pada akhirnya, seperti kata Martin Heidegger, ""Only God can save us."" Artinya kita harus kembali kepada Tuhan, kembali kepada hukum-Nya, agar ada yang ditakuti. Karena hanya dengan itu para hakim itu ada akuntabilitas, di hadapan Yang Maha Adil. Bukan di hadapan KUHP - yang melepaskan para penegak hukum dsri akuntabilitas sejati. Dus bisa sewenang-wenang.",pada akhirnya seperti kata martin heidegger only tuhan belum save us artinya kita harus kembali kepada tuhan kembali kepada hukumnya agar ada yang ditakuti karena hanya dengan itu para hakim itu ada akuntabilitas di hadapan yang maha adil bukan di hadapan kuhp yang melepaskan para penegak hukum dsri akuntabilitas sejati dus bisa sewenangwenang,negative,anger
"Tom Lembong adalah produk korban politik..dan sakit hati karna berseberangan dgn kekuasaan...dengki nya penguasa terhadap keadilan dan sebagai cara kejahatan utk memberikan ketakutan kepada jalan kebenaran
..semangat pak tom
..ada saatnya mereka yg menjeratmu akan menuai dan memanen atas apa yg dia lakukan",tom lembong adalah produk korban politikdan sakit hati karena berseberangan dengan kekuasaandengki nya penguasa terhadap keadilan dan sebagai cara kejahatan untuk memberikan ketakutan kepada jalan kebenaran semangat pak tom ada saatnya mereka yang menjeratmu akan menuai dan memanen atas apa yang dia lakukan,negative,fear
Indonesia makin semena-mena pemerintahannya,indonesia makin semenamena pemerintahannya,positive,sadness
Harus kemana kita mencari keadilan itu Abah  😭😭😭😭,harus kemana kita mencari keadilan itu ayah,negative,sadness
"Bismillah 
Allah segerakan azab untuk orang yang berbuat dzolim kepada pak Tom

Yaa Allah...sampai tidak bisa berkata kata...sebeginikah berada di negeri yang penuh dengan drama konoha...

sehat sehat pak Tom dan pak Anies",bismillah allah segerakan azab untuk orang yang berbuat zalim kepada pak tom ya allahsampai tidak bisa berkata katasebeginikah berada di negeri yang penuh dengan drama konoha sehat sehat pak tom dan pak anies,positive,happy
Hukum indonesia yang makin bagus ( bagus untuk d bantai) 😡 hukum akhirat jauh lbh dahsyat untuk pra penegak Hukum yang tidak adil ... Sehat smngat pak tom,hukum indonesia yang makin bagus bagus untuk di bantai hukum akhirat jauh lebih dahsyat untuk pra penegak hukum yang tidak adil sehat semangat pak tom,positive,anger
Yang memerintah pak tom gak di sentuh...aneh hidup di Konoha,yang memerintah pak tom tidak di sentuhaneh hidup di konoha,negative,sadness
Astaghfirullah...ya Allah......begitu sulit nya keadilan di dapatkan  di negeri Konoha....hanya pengadilan Allah yang adil dan jujur ...... Di Padang Mahsyar......hidup hanya persinggahan..tidak kekal yg kekal hanya akhirat....,astaghfirullahya allahbegitu sulit nya keadilan di dapatkan di negeri konohahanya pengadilan allah yang adil dan jujur di padang mahsyarhidup hanya persinggahantidak kekal yang kekal hanya akhirat,negative,sadness
"QS. Al-Baqarah ayat 216
""Boleh jadi kamu membenci sesuatu, padahal ia amat baik bagimu, dan boleh jadi (pula) kamu menyukai sesuatu, padahal ia amat buruk bagimu. Allah mengetahui, sedang kamu tidak mengetahui."" 

الْحَمْدُ لِلَّهِ عَلَى كُلِّ حَالٍ
Sejatinya hidup itu anugerah, sekalipun berbalut musibah, hidup itu tetaplah anugerah ketika kita cerdas mengambil hikmah,,,

Jika semuanya nampak tidak masuk akal, maka tundukkan akal pada keimanan.

Rencana Allah selalu berakhir baik, jika belum baik maka itu bukan akhir,,,
In syaa Allah,,,",qs albaqarah ayat boleh jadi kamu membenci sesuatu padahal ia amat baik bagimu dan boleh jadi pula kamu menyukai sesuatu padahal ia amat buruk bagimu allah mengetahui sedang kamu tidak mengetahui sejatinya hidup itu anugerah sekalipun berbalut musibah hidup itu tetaplah anugerah ketika kita cerdas mengambil hikmah jika semuanya menampak tidak masuk akal maka tundukkan akal pada keimanan rencana allah selalu berakhir baik jika belum baik maka itu bukan akhir masuk saya allah,positive,happy
"Ketika hasil pemilu, hukum bisa d setir oleh elit, segelintir org² yg haus kekuasaan, keserakahan.... wkt yg akan buktikan siapa yg benar.

Pak Tom telah berjasa, berkontribusi bnyk bt negara tp d kriminalisasikan oleh negara.
Anehny yg merugikan negara msh bebas keluar LN",ketika hasil pemilihan umum hukum bisa di setir oleh elite segelintir orang yang haus kekuasaan keserakahan waktu yang akan buktikan siapa yang benar pak tom telah berjasa berkontribusi bak buat negara tapi di kriminalisasikan oleh negara anehny yang merugikan negara masih bebas keluar ln,negative,anger
"Di dunia Indonesia memang harus penuh kesabaran dan keikhlasan. Dan harus yakin bahwa doa orang terdzalimi pasti dikabulkan Allah SWT. Semoga Allah tunjukkan yang BENAR, dan hancurkan yang SALAH.",di dunia indonesia memang harus penuh kesabaran dan keikhlasan dan harus yakin bahwa doa orang terdzalimi pasti dikabulkan allah subhanahu wa taala semoga allah tunjukan yang benar dan hancurkan yang salah,positive,sadness
"Dampak dr nowel anak nya mulyono soal teks yg beliau buat buat babenya mungkin ya ini. 
Dahsyat dan luar biasa kotor permainan politik ini. 

Semua doa terbaik buat pak Tom Lembong dan semoga para pemutus hukum yg tidak berpihak pada keadilan dihukum sepedih2nya dunia dan akhirat.
Sungguh demi Allah kami tidak pernah rela hukum bisa dipermainkan spt ini.",dampak dari nowel anak nya mulyono soal teks yang beliau buat buat babenya mungkin iya ini dahsyat dan luar biasa kotor permainan politik ini semua doa terbaik buat pak tom lembong dan semoga para pemutus hukum yang tidak berpihak pada keadilan dihukum sepedihnya dunia dan akhirat sungguh demi allah kami tidak pernah rela hukum bisa dipermainkan seperti ini,negative,sadness
"Ya Alloh ngerinya negeri ini,
Pak Tom semoga selalu bersabar InsyaAlloh  Alloh segera memberikan hadiah terindah untuk Pak Tom🤲🤲🤲,dan orang2 yg telah mendzolimi beliau akan segera mendapatkan balasannya itu pasti",iya allah ngerinya negeri ini pak tom semoga selalu bersabar insyaallah allah segera memberikan hadiah terindah untuk pak tom dan orang yang telah menzalimi beliau akan segera mendapatkan balasannya itu pasti,positive,happy
Sehat selalu pak Tom...percayalah allh tidak tidur,sehat selalu pak tompercayalah allh tidak tidur,positive,happy
"Menyedihkan, mengerikan & semoga azab Alloh SWT Tuhan YME segera turun bagi pengadil yg tdk adil...",menyedihkan mengerikan semoga azab allah subhanahu wa taala tuhan yang maha esa segera turun bagi pengadil yang tidak adil,negative,fear
"saya tidak tau apakah keputusan hakim sudah sesuai dengan hukum di negara kita.. kita rakyat kecil hanya bisa berdo,a :
YA ALLAH YA RABBI jika keputusan nya adil berilah para hakim itu hidup yang berkah dan berikanlah ganjaran pahala pada mereka,Tapi YA ALLAH jika putusannya zholim laknatlah para hakim2 itu dan berilah azab mu selagi mereka hidup dan sesudah mati.. 🙏🙏🙏🙏🙏🙏🙏",saya tidak tahu apakah keputusan hakim sudah sesuai dengan hukum di negara kita kita rakyat kecil hanya bisa berdoa a iya allah iya rabi jika keputusan nya adil berilah para hakim itu hidup yang berkah dan berikanlah ganjaran pahala pada mereka tapi iya allah jika putusannya zalim laknatlah para hakim itu dan berilah azab mu selagi mereka hidup dan sesudah mati,negative,fear
Semoga ada penerus imam samudera yg bisa melenyapkan orang2 kejaksaan kehakiman dan aparat penegak hukum lain serta anggota DPR MPR yang GK berguna,semoga ada penerus imam samudera yang bisa melenyapkan orang kejaksaan kehakiman dan aparat penegak hukum lah serta anggota dewan perwakilan rakyat majelis permusyawaratan rakyat yang tidak berguna,negative,sadness
"Allah Tidak Tidur... bersabarlah pak... di akhirat kelak ada Hari Pengadilan untuk semua makhluk dan tidak akan pernah bisa dibuat tipu daya lagi.

Mereka yang tidak amanah dengan jabatan mereka kelak Allah akan siksa dengan Amat Pedih sebab kezaliman yang mereka lakukan.",allah tidak tidur bersabarlah pak di akhirat kelak ada hari pengadilan untuk semua makhluk dan tidak akan pernah bisa dibuat tipu daya lagi mereka yang tidak amanah dengan jabatan mereka kelak allah akan siksa dengan amat pedih sebab kezaliman yang mereka lakukan,negative,fear
Semoga masih tersisa keadilan..kasus Pak Tom akan menjadi potret keadilan di negeri ini. Kasus ini hampir bersamaan dengan ramainya kasus ijazah palsu mantan pemimpin negeri ini. Di sinilah rakyat sebagai pemegang kekuasaan tertinggi di negeri ini akan dipertontonkan drama kekuasaan yg mempengaruhi keadilan,semoga masih tersisa keadilankasus pak tom akan menjadi potret keadilan di negeri ini kasus ini hampir bersamaan dengan ramainya kasus ijazah palsu mantan pemimpin negeri ini di sinilah rakyat sebagai pemegang kekuasaan tertinggi di negeri ini akan dipertontonkan drama kekuasaan yang mempengaruhi keadilan,negative,sadness
"Ini cara tuhan untuk menguatkan dan mengukuhkan Tom Lembong. Beliau akan 'menjelma' menjadi sosok inspiratif khususnya bagi negeri ini. Tom Limbong kini menjadi 'simbol' dan 'sinyal ' betapa negeri ini harus dibenahi. Dan keadilan yang 'dikebiri' akan muncul ke permukaan menghukum siapa saja  orang2  yang telah mengebirinya.
Semoga Pak Tom Lembong sehat dan tetap semangat. Semoga hikmah segera menceritakan peristiwa ini. #SalamMataPenaSurga",ini cara tuhan untuk menguatkan dan mengukuhkan tom lembong beliau akan menjelma menjadi sosok inspiratif khususnya bagi negeri ini tom limbong kini menjadi simbol dan sinyal betapa negeri ini harus dibenahi dan keadilan yang dikebiri akan muncul ke permukaan menghukum siapa saja orang yang telah mengebirinya semoga pak tom lembong sehat dan tetap semangat semoga hikmah segera menceritakan peristiwa ini,positive,happy
Pastinya ini pesanan si planga-plongo... semoga Allah memberikan balasan setimpal untuk si Dzalim beserta kroni2nya. Sedih atas matinya keadilan di Negri ini. Ya Allah lepaskanlah bangsa Indonesia dari pemimpin bodoh dan pemerintahan Dzalim,pastinya ini pesanan sil plangaplongo semoga allah memberikan balasan setimpal untuk sil zalim beserta kroninya sedih atas matinya keadilan di negeri ini iya allah lepaskanlah bangsa indonesia dari pemimpin bodoh dan pemerintahan zalim,negative,sadness
"Ya Allah, 
berikanlah shalawat kepada pemimpin kami Nabi Muhammad, 
dan sibukkanlah orang-orang dzalim agar mendapat kejahatan dari orang dzalim lainnya, 
selamatkanlah kami dari kejahatan mereka. 
Dan berikanlah shalawat kepada seluruh keluarga dan para sahabat beliau",iya allah berikanlah selawat kepada pemimpin kami nabi muhammad dan sibukkanlah orangorang zalim agar mendapat kejahatan dari orang zalim lainnya selamatkanlah kami dari kejahatan mereka dan berikanlah selawat kepada seluruh keluarga dan para sahabat beliau,negative,love
"Mengingatkan para hakim pengadilan dunia, bahwa mereka akan menghadapi pengadilan akhirat. Apapun keputusan mereka di dunia, pasti akan dipertanggungjawabkan di akhirat. Dan Keadilan yang Haq pasti ditunjukkan oleh sang Maha Adil dan Maha Kuasa. Apakah itu langsung di dunia, di alam kubur atau saat di yaumil Mizan saat pengadilan di akhirat.",mengingatkan para hakim pengadilan dunia bahwa mereka akan menghadapi pengadilan akhirat apapun keputusan mereka di dunia pasti akan dipertanggungjawabkan di akhirat dan keadilan yang hak pasti ditunjukkan oleh sang maha adil dan maha kuasa apakah itu langsung di dunia di alam kubur atau saat di yaumil mizan saat pengadilan di akhirat,positive,fear
"Setelah kasus ini akan terus Allah tampak kan dg terang  menderang nasib org yg menzalimin  Pak Tom. 
Alam akan menyeleksi mana manusia yg twrus berjuang utk kebenaran.
Dan manusia yg tdk layak meneruskan kezalimannya . Allahu akbar.
Allah meneguhkan hati pak lembong. Doa kami  sll buat kita semua dijalan yg benar.",setelah kasus ini akan terus allah tampak kan dengan terang menderang nasib orang yang menzalimin pak tom alam akan menyeleksi mana manusia yang twrus berjuang untuk kebenaran dan manusia yang tidak layak meneruskan kezalimannya allahu akbar allah meneguhkan hati pak lembong doa kami selalu buat kita semua di jalan yang benar,positive,happy
